simulated_process,response_process_shape,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: truncation parameter,transfer: RMSE,transfer: MSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
1,3,3,2990485982,15.2222,300,17,0.021457,0.01894,0.11482,1.0123,0.75764,0.34153,2.182,0.19418,0.32987,1.5576,0.1201,1.5577,1.9445,1e-05         0.1,0.48167,0.34317,0.034741,0.0042668,0.052208,0.0040452,0.061367,0.0019244,
4,3,2,2559173966,22.1001,300,17,0.011336,0.018139,0.043708,0.31367,0.78115,0.23796,1.5131,0.19861,0.30636,1.9973,0.04068,1.9975,1.4879,1e-05         0.1,0.27739,0.25606,0.039606,0.014483,0.03593,0.0032135,0.037009,0.0014483,
1,2,1,3544197194,16.6248,300,17,0.016303,0.012843,0.077861,0.76024,0.66692,0.30063,1.9888,0.1523,0.25872,0.14874,1.5254,0.14876,2.1886,1e-05         0.1,0.19118,0.17253,0.094498,0.018865,0.15798,0.021489,0.26233,0.018405,
0,3,2,1539488093,16.8689,300,17,0.018766,0.012443,0.21073,1.324,0.68341,0.50553,3.1763,0.19637,0.91269,1.4725,0.15564,1.4726,2.3251,1e-05         0.1,0.16072,0.11418,0.055366,0.0070714,0.06061,0.0061789,0.08371,0.0017829,
4,3,3,768339176,20.1274,300,17,0.019938,0.037353,0.090008,0.58584,1.0358,0.31553,1.9795,0.31827,0.49093,3.4563,0.090526,3.4564,2.9089,1e-05         0.1,0.57866,0.26897,0.038352,0.0018399,0.053924,0.0039994,0.082922,0.0010631,
1,2,2,2489937767,19.0928,600,24,0.010659,0.01165,0.070631,0.5928,0.66281,0.29879,1.9163,0.2607,0.44287,0.088173,0.90427,0.088191,1.2971,1e-05         0.1,0.12946,0.10341,0.075845,0.021729,0.11193,0.024527,0.1766,0.020995,
1,1,3,2268868402,21.3745,600,24,0.0040913,0.0098034,0.059435,0.62148,0.58719,0.2647,1.7742,0.18616,0.31625,0.66548,0.074874,0.66555,1.0385,1e-05         0.1,0.97731,2.0759,0.045537,0.0032036,0.060513,0.0079482,0.071372,0.0028658,
4,2,3,2894017870,18.2432,900,30,0.0031113,0.022175,0.053434,0.38583,0.78802,0.24005,1.5413,0.23319,0.35969,0.23238,1.7463,0.2324,3.0791,1e-05         0.1,0.25602,0.097733,0.059535,0.014741,0.077924,0.017432,0.096541,0.014153,
4,3,3,95027589,17.2271,300,17,0.0089346,0.0215,0.051807,0.42099,0.94145,0.28679,1.8646,0.28109,0.43358,1.8048,0.047269,1.8051,1.5192,1e-05         0.1,0.58635,0.52648,0.091242,0.018723,0.1076,0.0081891,0.20281,0.0014232,
4,2,2,1540954407,16.7236,300,17,0.007538,0.03111,0.074963,0.49963,0.88823,0.27058,1.7364,0.28699,0.44268,0.23601,2.3518,0.23604,3.1946,1e-05         0.1,0.20061,0.25875,0.084085,0.024104,0.2237,0.022929,0.1878,0.02245,
