simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: tikhonov parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
0,2,360946879,9.6382,300,17,0.028371,0.0063827,0.10218,0.642,0.3977,0.39722,2.4958,0.13307,0.83508,2.2911,0.16392,2.2914,3.1303,0.058824,0.59513,0.33977,0.13636,0.38084,0.15277,0.36336,0.13271,
0,2,1211225316,11.0472,900,30,0.0028647,0.0042209,0.06757,0.42455,0.31399,0.31361,1.9705,0.082661,0.51874,1.2231,0.071374,1.2238,1.4966,0.033333,0.44294,0.22756,0.11894,0.23152,0.12178,0.23756,0.10345,
0,1,66522443,11.0703,900,30,0.0018451,0.0029483,0.047198,0.29655,0.26998,0.26965,1.6943,0.090161,0.56581,1.2645,0.057819,1.2649,1.4823,0.033333,0.35439,0.16029,0.095617,0.16882,0.094282,0.1781,0.094195,
0,1,2380877188,11.1198,900,30,0.0052395,0.0032535,0.052084,0.32725,0.30215,0.30178,1.8961,0.079554,0.49924,1.0576,0.046077,1.0578,1.1879,0.033333,0.33576,0.17902,0.093862,0.16439,0.091002,0.20568,0.095303,
0,1,2622174033,11.1224,900,30,0.0089374,0.0036449,0.058349,0.36662,0.29211,0.29175,1.8331,0.070781,0.44418,0.88187,0.047944,0.88206,1.0631,0.033333,0.41544,0.20665,0.11397,0.20602,0.10952,0.22409,0.10496,
0,2,1660771404,9.6485,300,17,0.01172,0.0056859,0.091022,0.57191,0.45411,0.45355,2.8497,0.21015,1.3188,3.2198,0.14411,3.2201,3.9204,0.058824,0.54249,0.29123,0.096756,0.36621,0.10165,0.36964,0.085829,
0,1,2168635338,11.1421,900,30,0.003665,0.0030906,0.049476,0.31086,0.28436,0.28401,1.7845,0.075504,0.47382,0.82603,0.063259,0.82623,1.1006,0.033333,0.49033,0.3105,0.16053,0.30514,0.13407,0.38075,0.14587,
0,2,3201669802,9.6709,300,17,0.011354,0.0042495,0.068028,0.42743,0.34648,0.34605,2.1743,0.080792,0.50701,1.465,0.068095,1.4653,1.7013,0.058824,0.51688,0.27593,0.10071,0.30845,0.11265,0.35219,0.12923,
0,2,3388426309,10.3616,600,24,0.0042416,0.0032899,0.052667,0.33091,0.29974,0.29937,1.881,0.087345,0.54813,1.2556,0.069247,1.2558,1.5579,0.041667,0.45792,0.25238,0.11473,0.26586,0.10261,0.25891,0.085444,
0,2,669463180,10.39,600,24,0.003686,0.0044207,0.070768,0.44465,0.31425,0.31386,1.972,0.079109,0.49644,1.6795,0.076575,1.6801,2.0644,0.041667,0.38284,0.23537,0.098068,0.22164,0.096616,0.29633,0.08305,
0,3,3414999822,9.7202,300,17,0.013273,0.0070547,0.11294,0.70959,0.43142,0.43089,2.7074,0.1101,0.69093,2.1335,0.096725,2.1337,2.4614,0.058824,0.58298,0.34766,0.102,0.34466,0.089053,0.44747,0.095101,
4,3,2360860925,12.0615,900,30,0.0028633,0.014723,0.026502,0.30055,0.41208,0.20825,1.3803,0.25146,0.27751,11.6648,0.055896,11.665,6.7831,0.033333,0.56853,0.12725,0.051052,0.14521,0.050125,0.17404,0.047269,
0,2,2446761338,9.6677,300,17,0.0091804,0.0064232,0.10282,0.64606,0.41185,0.41135,2.5846,0.17031,1.0688,3.7857,0.19036,3.7859,4.8869,0.058824,0.50143,0.29792,0.12123,0.30559,0.11383,0.27244,0.10023,
0,2,1543799870,9.8109,300,17,0.0056103,0.0063839,0.1022,0.64212,0.4583,0.45774,2.876,0.13425,0.8425,3.1697,0.14053,3.1698,3.7794,0.058824,0.50627,0.27381,0.094507,0.36941,0.10523,0.32078,0.093672,
0,2,4065193903,9.7856,300,17,0.014006,0.0072953,0.11679,0.73379,0.41054,0.41003,2.5763,0.16449,1.0323,2.4081,0.15475,2.4085,3.2579,0.058824,0.59265,0.33092,0.12947,0.37615,0.14902,0.36319,0.10888,
0,2,2434493732,10.4594,600,24,0.0046768,0.0052305,0.083732,0.52611,0.36277,0.36233,2.2766,0.094174,0.59099,2.3667,0.10189,2.3668,2.7499,0.041667,0.46981,0.29501,0.098312,0.32994,0.089518,0.44702,0.10674,
0,2,3940017390,9.8201,300,17,0.0035284,0.0050684,0.081137,0.5098,0.35587,0.35544,2.2333,0.087385,0.54838,2.509,0.13159,2.5097,3.0411,0.058824,0.60613,0.40899,0.11501,0.46596,0.11673,0.69586,0.11076,
0,2,2942105372,10.443,600,24,0.0041024,0.0044676,0.071519,0.44937,0.33788,0.33746,2.1203,0.079523,0.49904,2.097,0.089101,2.0971,2.4448,0.041667,0.41873,0.23287,0.090979,0.26835,0.091888,0.32868,0.080211,
0,2,3821769982,11.077,900,30,0.0029182,0.0040058,0.064126,0.40292,0.32753,0.32713,2.0554,0.086738,0.54433,1.5036,0.0736,1.5037,1.9448,0.033333,0.39523,0.19876,0.097008,0.2244,0.10309,0.24319,0.10212,
